"","baseMean"
"GPFGEMDG_02524",383.974479897865
"GPFGEMDG_02294",157.986082400572
"GPFGEMDG_02433",236.46155109091
"vioD",185.864933632962
"ywiB",293.45930540021
"GPFGEMDG_00440",184.362963609886
"GPFGEMDG_00094",73.8553903531442
"GPFGEMDG_02778",177.466665880759
"GPFGEMDG_01456",84.6515175971396
"GPFGEMDG_00755",151.845655485428
"GPFGEMDG_01655",45.4658681105624
"glpF",1.54914027368771
"GPFGEMDG_02663",56.2481897476911
"mta",326.465805531345
"GPFGEMDG_02687",66.1589330962404
"alsS",568.915261744387
"GPFGEMDG_02183",69.0272154554276
"ygaZ_1",55.2351841096936
"GPFGEMDG_01908",469.743109667561
"xerS_1",291.29972531239
"tsaB",3.49642401712525
"oxyR",698.319044431482
"manX_2",27.9998652994026
"GPFGEMDG_01623",185.893301678334
"ldtA",26048.5650771486
"tdk",173.747906630376
"bsdC",78.2776851385627
"GPFGEMDG_02525",921.50296457312
"yvgN",69.5827062806442
"GPFGEMDG_00679",158.607476657606
"GPFGEMDG_02224",258.505195676723
"ribF",34.71566495721
"GPFGEMDG_00033",85.7833395242422
"GPFGEMDG_02541",155.866625900779
"smc_3",222.07799536319
"GPFGEMDG_01951",724.364799942958
"kbaY",449.731976519113
"nagB",66.8438886420965
"GPFGEMDG_02782",52.4529926108484
"GPFGEMDG_02030",1100.11883929713
"yesO",106.193518478666
"GPFGEMDG_01449",723.11672626144
"ccpA_1",117.999745228524
"GPFGEMDG_01117",230.462276683301
"mgsR",269.561607608389
"araQ_2",19.2023588811989
"GPFGEMDG_01360",405.094986108175
"mutY",298.206540849218
"lacR_3",48.0010054035605
"gmuD_1",627.146980395151
"GPFGEMDG_02125",81.5024385255201
"afr_1",365.109204954225
"GPFGEMDG_02040",57.7163819074291
"GPFGEMDG_02179",465.835178479187
"GPFGEMDG_00192",203.834778282035
"GPFGEMDG_00841",205.628399721666
"ybjG",101.524386153754
"rsfS",246.805596796893
"GPFGEMDG_01232",453.887627802897
"GPFGEMDG_01162",208.167068489452
"GPFGEMDG_02345",27.7684285730741
"GPFGEMDG_02279",225.969960627856
"pgmB",50.9506685711481
"GPFGEMDG_01752",140.258476341438
"pepT",142.000945427633
"GPFGEMDG_02105",1379.15293776413
"clsA_2",3021.13701934884
"malH",889.231619176493
"murJ_3",594.578947271547
"napA",167.146396126333
"helD_2",140.269226306221
"ytpP",97.5620070017668
"GPFGEMDG_00674",17.1917422339351
"GPFGEMDG_02445",294.095669696991
"GPFGEMDG_00685",1455.96502199492
"GPFGEMDG_00658",214.731641397717
"GPFGEMDG_00012",132.282330805871
"lacF_5",189.56850273232
"GPFGEMDG_02763",495.920065206409
"tkt",55.4268266207476
"GPFGEMDG_02025",60.7616551682577
"GPFGEMDG_01520",494.72918951699
"ntcA",1587.64556161779
"GPFGEMDG_02344",206.526030454665
"gmk_2",456.359438416149
"GPFGEMDG_00463",288.98601163818
"GPFGEMDG_01341",424.650786009433
"GPFGEMDG_01938",3.14160995426882
"GPFGEMDG_01290",1921.32817266209
"amt",60.221110833926
"ligA_2",31.4634631720257
"GPFGEMDG_02595",1652.23629518347
"norG",2676.9618660566
"treP_1",1158.65019849358
"ssaB_1",118.178167384478
"pbpF",70.2627838221948
"yfbR",87.6099689446559
"GPFGEMDG_01025",31.9546617850578
"tgt",521.27864276339
"argR_2",189.226214058402
"GPFGEMDG_02588",293.401445339698
"zapA",196.081382910863
"GPFGEMDG_01377",952.204651507238
"aes_1",747.38966827048
"GPFGEMDG_02841",215.565801665973
"GPFGEMDG_00653",63.802780493462
"GPFGEMDG_01891",26.3607577353005
"GPFGEMDG_00823",528.001393254746
"GPFGEMDG_00892",314.243338284111
"gpsA_1",168.142140348004
"ysnF",272.963062866617
"GPFGEMDG_01316",2566.8590492556
"frlB_1",701.635429752247
"pcrA",85.9187005599218
"GPFGEMDG_01596",171.048586115297
"GPFGEMDG_02722",259.634439746671
"GPFGEMDG_01824",829.617354125958
"araN_1",9140.95369615538
"pimA",56.2407198997697
"GPFGEMDG_01365",2140.79040678758
"glcU_1",218.534573438245
"GPFGEMDG_01376",136.279355414944
"rnhB",142.338751576403
"ygaZ_2",28.4179119614249
"GPFGEMDG_01478",1516.29555658436
"GPFGEMDG_02426",372.408579417359
"GPFGEMDG_00298",635.856442197417
"GPFGEMDG_01487",77.1866581812329
"pglH_2",99.4556938933142
"repD",1413.99489876059
"GPFGEMDG_00978",294.497792841541
"GPFGEMDG_02572",367.591011712352
"GPFGEMDG_01303",127.251544665935
"eriC",2920.89732774291
"pyrP",449.21980683682
"asd",310.650793183916
"GPFGEMDG_00095",6308.53819723275
"nagA",978.909497345276
"bglH_2",571.523565919641
"GPFGEMDG_00071",297.522305791367
"nadR",176.501472342588
"GPFGEMDG_01050",420.770664622927
"frmB",64.2774544348075
"pepA",266.935107734157
"comFA",152.748675681244
"ytfQ",212.54439333197
"GPFGEMDG_02376",76.0223856387942
"yfmL",373.334353341544
"sdrD",250.530793688643
"lsrC_1",2720.45950731419
"GPFGEMDG_00445",123.085642499709
"rsuA",539.125075221124
"lacF_3",74.0495642408498
"iap_1",5316.68556796337
"mapP",776.230997672151
"GPFGEMDG_01577",3876.15387662246
"GPFGEMDG_01358",2200.04596087598
"DNPH1",259.51017687219
"intQ_1",682.39276329963
"gatB_1",168.898641842946
"aroB",1876.65721516336
"dgaR_4",1519.31534217774
"GPFGEMDG_01682",2482.15457236297
"GPFGEMDG_02373",2389.23785348461
"adh",760.140243812403
"GPFGEMDG_02182",265.254876131254
"yvbW",215.956266254332
"opuAA",78.4999724687019
"GPFGEMDG_01037",2063.2897629241
"GPFGEMDG_01571",159.3786865533
"GPFGEMDG_00106",1244.55883310817
"pelX",760.315585940975
"GPFGEMDG_02543",195.434374149352
"GPFGEMDG_02470",366.651013677757
"araR_1",121.421320333154
"GPFGEMDG_01006",199.110944822988
"abfA_2",353.958366324272
"tuf_2",41.4892013860174
"GPFGEMDG_00317",35.8412424983076
"tetA",127.78965454547
"GPFGEMDG_02735",292.031159357591
"ydeA",3503.07120269234
"dinB_4",406.134874331361
"rlmI",1500.30093925448
"xerC_3",1328.72122221135
"glcK",365.32656728353
"GPFGEMDG_02292",3344.83702172796
"mntH",4348.55520495449
"GPFGEMDG_02046",539.12147780888
"GPFGEMDG_00953",1366.42379995496
"araQ_4",293.387119581213
"GPFGEMDG_00890",391.484210585828
"ywqD",462.578039992379
"opuCA_1",1333.72213227672
"gor",76.1500510352141
"srlB",988.038882631346
"ssaB_2",221.874491608044
"ubiE_2",68.4660236401299
"GPFGEMDG_02770",3987.57183281359
"gabR",1070.14622565147
"iadA",226.433184190508
"patB",148.775010448014
"GPFGEMDG_01458",1099.14931069737
"GPFGEMDG_02109",1253.34128429742
"npr_1",3699.56128345343
"ddl_2",3433.094439756
"GPFGEMDG_02769",873.534718137345
"gmuC_2",563.193093353006
"yddE",534.94924866765
"GPFGEMDG_02339",36.3986459579886
"GPFGEMDG_00271",373.864816405682
"steT_1",5410.61981567677
"GPFGEMDG_00259",543.993201679627
"galM_1",324.090673819611
"GPFGEMDG_02855",171.932296552499
"bin3_1",593.202499221981
"lacF_6",977.461031335146
"yqiK",9076.17864774455
"uxaB",22.5258702276888
"GPFGEMDG_01678",1641.29354756118
"galK_1",675.746339358139
"lacR_2",485.461532887153
"znuA_2",43.4675537999642
"znuC_1",189.691007407131
"GPFGEMDG_02023",1582.38843383911
"GPFGEMDG_00671",52.9107444798964
"glpE_1",303.324365725437
"xpkA_2",1770.25456944622
"spxA_4",2039.94869152212
"phoR_3",790.033187753127
"GPFGEMDG_01314",54.5322380970979
"GPFGEMDG_02652",20.1357227739312
"GPFGEMDG_02496",212.609720714556
"crtK-2",856.890166639306
"lysA",73.5640613293449
"GPFGEMDG_00836",994.625082289012
"kup",6086.27611218846
"GPFGEMDG_00368",1135.97118104583
"tmpC",1428.88354012561
"rsmD",149.435005077157
"GPFGEMDG_02509",5031.60134237794
"GPFGEMDG_01041",476.5777385059
"bfrA",721.514079776596
"GPFGEMDG_02390",6.74205811681862
"adeC",321.539665084273
"gph_2",651.031641976032
"GPFGEMDG_02337",228.912707761503
"yjiA",311.325683508498
"yhhX",4053.71392700992
"mutL",184.0489293663
"recN",915.835249949675
"mutS2_1",91.829488376537
"prfC",253.922698652063
"rpmGA_1",80.7389058211425
"melR",575.54049475132
"GPFGEMDG_00827",490.591828750572
"GPFGEMDG_00966",39.9999815091363
"GPFGEMDG_01425",573.13671141261
"rhaD",68.732643765336
"bin3_2",677.752460071645
"GPFGEMDG_01804",92.1135466099059
"GPFGEMDG_02166",650.289241455172
"rspR_1",299.5069430828
"GPFGEMDG_01972",890.24706655122
"GPFGEMDG_00834",974.680133471193
"dinG_1",236.515771987802
"GPFGEMDG_02577",449.949835054419
"exuR_2",7828.5827611343
"GPFGEMDG_01985",1400.97934761934
"GPFGEMDG_01914",260.655479639758
"copA",4344.10061515502
"manR_2",582.116911380887
"nrdE1",748.648752176098
"GPFGEMDG_00214",1176.37033807154
"htrA",45.1699552719439
"dapH",177.578063367305
"hosA",682.261740284777
"murQ",1062.30487785712
"GPFGEMDG_01652",139.11788970662
"lacC_1",784.172946422422
"GPFGEMDG_01903",1468.33716767067
"gltC_1",245.198085833555
"GPFGEMDG_02852",3761.60559259704
"GPFGEMDG_02506",30.4196909300262
"fur",967.169712563777
"GPFGEMDG_02527",607.6499546937
"GPFGEMDG_01045",2490.85129525384
"fruA_2",2541.33602376423
"aroE",767.218431051511
"rsiV",167.453679351075
"gldA",1322.77059815753
"pflB",1218.62287657331
"ydjZ",1425.71555335634
"GPFGEMDG_00255",410.860898191055
"GPFGEMDG_01035",62.9497543276974
"ycaM",1946.22623593734
"dtd3_2",732.927330434391
"yheS_1",1391.49142766993
"feoB",2492.53848922029
"sdhA",263.341947905122
"GPFGEMDG_02730",426.411413117463
"lacE_1",4107.80483155425
"GPFGEMDG_00875",281.618440236398
"perR",432.50285104569
"GPFGEMDG_01211",42.4514167906702
"lacF_2",557.353373056089
"patA_1",4420.98947550152
"mntR",510.671685785115
"dltA",596.835481130751
"GPFGEMDG_00667",244.811939820662
"bbmA",992.197542336525
"GPFGEMDG_02537",1410.81587932703
"msmE",33.6976891962748
"ponA_2",322.457263098421
"feuB_2",5565.48213395825
"GPFGEMDG_01535",328.438988474082
"cdr_2",3752.60789527443
"dgaR_2",1881.08158316474
"murR_2",5028.45494944027
"topB_3",216.22129278487
"gadC_1",53.4073121697564
"GPFGEMDG_02411",164.972475085961
"GPFGEMDG_01681",141.364320469052
"GPFGEMDG_02092",432.00999540024
"GPFGEMDG_02686",756.936957922393
"tig",41.9137054477404
"srrB",2213.74352176144
"nanE_1",57.5274100332175
"GPFGEMDG_02391",522.857661847359
"rlmH",57.8510935098265
"bceB_2",1913.88535215399
"GPFGEMDG_02762",372.198614087441
"GPFGEMDG_01656",209.112397146625
"GPFGEMDG_01578",17.2605349473401
"fbp",180.576435880724
"bglF_1",1222.407436748
"phnW",12560.7291317603
"yfnB_2",150.245175149073
"pepS",885.67061750516
"mntB_2",6996.63234049756
"GPFGEMDG_01610",362.570378990936
"GPFGEMDG_01038",1770.22920998986
"proA",7.53502802891013
"ktrA",2184.61085591972
"GPFGEMDG_02481",273.321093497892
"GPFGEMDG_00293",990.578985511299
"GPFGEMDG_01711",3090.34468620661
"GPFGEMDG_01293",74.3259272065316
"pgaC",513.968624627799
"lhpI",3241.06301023321
"GPFGEMDG_01581",1246.17405664897
"rbsR",1765.43369908737
"GPFGEMDG_02812",4499.85291070252
"steT_2",258.394442253235
"GPFGEMDG_01909",6394.00882635622
"bglK",2092.16861974591
"smc_6",6746.37118000898
"agaSK_1",2124.50103406057
"dauA",84.3777694041619
"licT_1",2700.24963035688
"cdr_1",1735.77147675414
"secA",1.79026915762587
"ugd",196.056173351927
"GPFGEMDG_00284",80.6881497774629
"GPFGEMDG_01673",1346.39475047258
"GPFGEMDG_02278",4557.40008284763
"dus_1",464.253191942148
"GPFGEMDG_00205",602.792997763164
"pepO",1027.76126051051
"ymfD",690.75507578998
"yutF",322.313362684201
"GPFGEMDG_02028",1691.95023422602
"GPFGEMDG_00849",1558.81385862013
"mglA",80.2602728527863
"GPFGEMDG_00305",124.90183678493
"GPFGEMDG_02370",400.999689042303
"GPFGEMDG_01939",1464.4230235858
"GPFGEMDG_01618",902.646089052117
"GPFGEMDG_02461",401.251455182378
"GPFGEMDG_00037",106.891415038055
"degA_2",25.8421970275419
"ganB",937.715471264019
"GPFGEMDG_00945",78.1320976856258
"GPFGEMDG_02067",416.207760789639
"GPFGEMDG_02431",1257.2107002207
"epsF",752.191335752475
"GPFGEMDG_02776",2817.7624247625
"asnS",102.227452203227
"GPFGEMDG_02354",189.309477646481
"nhaC_3",2789.86493908459
"lacF_4",150.360585735906
"uxuA_1",936.217261564613
"rsmC",49.7402121599238
"GPFGEMDG_00909",1846.98945159317
"ulaE",4094.94244219199
"acuI",4176.34353394133
"GPFGEMDG_00610",707.340614247925
"dapE",88.6093378367102
"GPFGEMDG_02638",1605.82253820229
"GPFGEMDG_01404",205.260584270116
"ccpB",547.436379926499
"cbh_2",1414.08674790108
"GPFGEMDG_01799",551.119136946928
"GPFGEMDG_00387",353.390651493618
"GPFGEMDG_02245",1856.09585989445
"cwlC",1214.83825684548
"paiA",1005.21053410521
"dtd",241.7434042634
"xerC_4",713.933475580857
"malF",4704.74318309817
"fosX",67.3634267980029
"GPFGEMDG_00466",1103.80972241317
"rpsN2_2",2089.40970312454
"yitU",59.0497144798293
"GPFGEMDG_01055",689.188343922069
"GPFGEMDG_01033",588.34477468942
"GPFGEMDG_00269",99.0107187300536
"mdxE",369.871332058666
"licR_2",138.9632272768
"pnuC",243.243773021102
"GPFGEMDG_01783",4899.87290372949
"malG",333.901656732458
"GPFGEMDG_00179",1492.16299475077
"tyrA",1348.84976367994
"GPFGEMDG_01944",1468.08471956769
"GPFGEMDG_02291",1212.74218363334
"clpE",3084.67733198152
"GPFGEMDG_02340",2365.3745949292
"ybhF",511.139166229091
"GPFGEMDG_02485",2435.49636317231
"bglC",1798.16735366304
"zitB",205.358081626225
"GPFGEMDG_01997",715.582975888795
"ziaA",756.40613485406
"mngB",1227.05197475818
"manP",4646.01918016118
"GPFGEMDG_01523",262.157411508277
"dgaR_6",8588.17454924499
"rex_1",3.47301161246112
"GPFGEMDG_01900",2955.48756577262
"srlA",59.5623932288775
"GPFGEMDG_01739",1520.82388321387
"ulaC",736.083337220414
"kdgK",1643.83195638597
"dxs",17717.5677858867
"GPFGEMDG_02386",1895.76631454385
"GPFGEMDG_00102",3186.28183859915
"trxA_1",66.9544683722913
"ribZ_2",10365.8744568927
"GPFGEMDG_01901",102.153885165203
"sorC_2",115.545489109108
"pglA",615.041500913726
"yheS_2",2543.25184065601
"xerD_2",1927.43460683861
"GPFGEMDG_00659",655.837547924666
"rclA",1608.58823532755
"endA",10322.795689712
"GPFGEMDG_00238",2903.35476981028
"treB",1700.48212829234
"corC_2",1321.30175212223
"GPFGEMDG_00546",684.528662054661
"GPFGEMDG_00536",396.760149802233
"iclR",92.4574757443696
"dinB_3",839.968441670051
"bmr3",2870.50773366525
"yvdM_1",852.555428629146
"msrA_1",2902.17505380304
"GPFGEMDG_00366",4996.93841910431
"GPFGEMDG_02684",129.115179080563
"GPFGEMDG_02444",100.903108262691
"rhaB",79.3092528976405
"yknY_2",8936.38963856293
"GPFGEMDG_00050",204.424995418081
"anr",447.877534802826
"mtlD",2799.01438319205
"GPFGEMDG_00054",6178.76653731352
"licA_1",300.968813580185
"GPFGEMDG_00292",1076.2841796923
"apc1",5647.20000078449
"GPFGEMDG_00432",2649.5774512986
"araN_2",35.3588047192281
"intQ_2",2764.76205498544
"comEA",577.245673342632
"ghrB",387.387869602207
"GPFGEMDG_02037",621.796674089294
"adhE",5358.25229242199
"dgaR_3",2020.10567818949
"xynB",974.043080738612
"pgl_1",2583.49591732063
"GPFGEMDG_02540",2649.68625627521
"GPFGEMDG_02593",1827.14390518861
"GPFGEMDG_00355",723.585596531842
"GPFGEMDG_01496",1035.55946503468
"tsaD",1.29495763552209
"gmuE_4",10.3706501490746
"mshD_2",429.655013082641
"GPFGEMDG_02113",282.210658055656
"yheH",12896.2680489657
"yceM",780.473176071516
"prsA_3",163.394864255637
"ybiT_2",1573.30459049551
"yadH",4724.98546211555
"GPFGEMDG_00034",811.97629265524
"GPFGEMDG_00752",2624.72039417508
"dgaE",173.45390803651
"GPFGEMDG_00596",1054.74473018575
"garB",7250.10493443676
"GPFGEMDG_01906",591.700674128163
"GPFGEMDG_01943",1231.89411054249
"bcrC",2682.43568751082
"mtlF_2",1082.824925067
"GPFGEMDG_00226",36.9542656673959
"GPFGEMDG_00055",826.478337604268
"sbcC",145.872829133542
"bin3_3",1335.90052834488
"licC_2",4830.28771994134
"mapZ",272.247886825926
"dinB_1",4223.03624886236
"GPFGEMDG_00427",92.9023414032844
"queT_2",61.9739673797009
"GPFGEMDG_01654",63.3714322989565
"srlE",3489.56006658412
"dgaF",534.168714648499
"GPFGEMDG_01363",1197.9926951452
"nhaC_4",197.115158892351
"ybdH",3732.07735898393
"GPFGEMDG_01382",207.821229411068
"thiI",516.263841296409
"GPFGEMDG_01710",6374.84967751842
"GPFGEMDG_01706",2180.0623364714
"GPFGEMDG_00655",2211.41867167156
"ntpC",170.093072952088
"yfnB_1",438.623944606799
"rluB_1",615.966558850629
"GPFGEMDG_01034",808.629810785042
"GPFGEMDG_01995",3437.92810055738
"GPFGEMDG_02208",6464.89278871269
"GPFGEMDG_01294",158.188640000147
"GPFGEMDG_00038",312.911102385229
"uxaA",312.952473052608
"mprF_1",2940.1021448639
"GPFGEMDG_00950",432.151304946161
"GPFGEMDG_01898",1883.77970312468
"GPFGEMDG_01566",385.950143078792
"degA_1",44.4997893423576
"GPFGEMDG_02571",456.621940477322
"GPFGEMDG_01616",1074.23343800623
"ydbD",368.714606456078
"corC_1",822.34376297999
