"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"dgaR_5",8471.0518156329,-6.45701573983729,0.453607647821066,-14.2348035154477,5.57193165075622e-46,7.91771487572459e-43
"purA",1405.22948648942,-9.35333698046033,0.705079692692194,-13.2656451141667,3.66255357919117e-40,2.60224431801533e-37
"dacA",15220.9098762073,2.38406373775573,0.246066361534041,9.68870236017987,3.36780229938664e-22,1.59521568914281e-19
"ldtA",27883.2749288866,1.66143731804611,0.194832368739268,8.52752203751885,1.4951585090461e-17,5.31155060338626e-15
"purQ",350.259227048119,-26.258567917812,3.55515306587913,-7.3860583303236,1.51245463317502e-13,4.29839606748341e-11
"manZ_5",2143.70602083091,-6.1765605239533,0.912898731387728,-6.76587699334855,1.32504087089356e-11,3.13813846256624e-09
"msrA_2",97.5951727792086,-24.065555747341,3.64703721722204,-6.59865921677428,4.1489275665348e-11,8.42232296006565e-09
"rlmCD_1",122.64373300893,23.1074710005388,3.56498239348027,6.48179105815456,9.06401075853374e-11,1.57929464957984e-08
"GPFGEMDG_02111",59.3951324370804,21.7411226027995,3.36190159834719,6.46691224201447,1.00025699128913e-10,1.57929464957984e-08
"GPFGEMDG_00633",53.9124136704335,21.6381596266319,3.46521060838506,6.24439956817408,4.25431177202424e-10,6.04537702804644e-08
"cinA",88.2387765097728,-22.2857285558584,3.69710946433071,-6.02787901490842,1.66125329830615e-09,2.14603721535731e-07
"pyrF",184.924400588168,-11.5133654537618,1.94826684054239,-5.90954237590805,3.4305942175675e-09,4.06239531930285e-07
"ldhB",32.0329183912575,-22.6902949654351,3.90800691104441,-5.80610410419442,6.39432128478835e-09,6.98948503514172e-07
"nox_1",49.9628902352015,-22.1387608612884,3.90864834844392,-5.66404518587662,1.47845446890137e-08,1.50063128593489e-06
"recR",35.1445568757183,-22.0015501928614,3.90884518397798,-5.62865735461817,1.81617772982881e-08,1.68988465133517e-06
"GPFGEMDG_02295",60.7228678262486,21.9628876145139,3.9075574052664,5.62061803235788,1.90275541318527e-08,1.68988465133517e-06
"rimI_1",35.9466722033277,-21.6580241664495,3.90929666107613,-5.54013318612856,3.02241691860634e-08,2.52638496549389e-06
"GPFGEMDG_00306",39.1208091258444,21.4441206496761,3.90792275846281,5.4873450615772,4.08019621984353e-08,3.22108823799869e-06
"GPFGEMDG_01603",85.5231683482411,20.1301232338696,3.68617378198992,5.46098052463568,4.73511996891157e-08,3.54137130306492e-06
"oppF_2",45.2545209884528,21.304163539074,3.9080636220254,5.451334880785,4.99931269962339e-08,3.55201167308242e-06
"GPFGEMDG_01868",29.4506260358215,21.0443318912892,3.90835912687178,5.38444170767207,7.26698493060054e-08,4.91732646970637e-06
"GPFGEMDG_02727",75.195358706895,20.2066079432299,3.77289927168036,5.35572420257865,8.52144073631725e-08,5.50407603923037e-06
"licA_2",38.5328686361204,20.3213318583369,3.90937588551421,5.19810129633109,2.01334411766922e-07,1.2438965179165e-05
"purH",578.074745556385,-6.67559837239609,1.33996816305758,-4.981908194866,6.29603053885923e-07,3.72777474821624e-05
"purD",701.102034964768,-5.9810386349457,1.25154735682493,-4.77891515836771,1.76243538392858e-06,0.000100176827222501
"cspLA_1",109.419337057785,10.7618765950288,2.45176040633793,4.38944872721201,1.13638366806534e-05,0.000621077381661863
"pyrK_1",598.964746811009,-4.86339574711035,1.24172519108838,-3.91664418344253,8.97901228576076e-05,0.00472562091039483
"GPFGEMDG_02313",100.886084792146,9.64515237978237,2.48740538526373,3.87759568139704,0.000105493843972956,0.0053538125816275
"GPFGEMDG_02105",1702.80789811556,1.82683591764202,0.490829948436981,3.7219324604366,0.000197703910270863,0.00968749160327228
"GPFGEMDG_02150",61.8444860384457,9.66351040430447,2.66519985691558,3.62581079209872,0.000288056217480238,0.0136442628346472
"albF",3461.07623583365,-1.30163719838243,0.361675817709726,-3.59890580084925,0.000319558906064539,0.0146481679199261
"clsA_2",2977.82110110332,1.45325346231568,0.412056947890128,3.52682674022809,0.000420571880560912,0.018676020071158
"pyrC",65.8901864347496,-10.0244705479459,2.86154581640576,-3.50316618747595,0.000459762519865958,0.0197976527493796
"guaB",1318.44968890876,-6.21071421637744,1.77715442019651,-3.49475214184858,0.000474502180752634,0.0198313999661616
"mrp",120.463003652769,-10.1595739034366,2.97506243960777,-3.41491115217603,0.000638028196610707,0.0259039447823947
"graR",75.5373622340154,10.128898289319,2.99582341313475,3.38100645215279,0.00072220846998599,0.0285071732180581
"purL",488.613852083273,-5.367091509904,1.63513386454578,-3.28235603596586,0.00102943536201166,0.0385108547529497
"fcbA1",1082.16102015094,-1.70862769098698,0.520567038136468,-3.28224333431396,0.00102984692513166,0.0385108547529497
"GPFGEMDG_01316",2826.4834961132,1.11964221006679,0.348261248677376,3.21494916336216,0.00130467625298727,0.0475370501408951
"lsrC_1",2799.4240686295,1.04735870970698,0.333758945746414,3.13806932534702,0.00170064649156181,0.0604154666127334
"GPFGEMDG_00685",1467.25408618291,1.14552378693341,0.372497167357576,3.07525502827185,0.00210322627136166,0.0728947446732906
"steT_1",5257.9860817018,0.701742477488762,0.231798864226145,3.02737668638504,0.00246686340853956,0.0834622119889216
"GPFGEMDG_02830",63.4426314118882,7.06156293705703,2.35641913198847,2.9967346815327,0.00272888102956114,0.090179998674567
"GPFGEMDG_02030",1144.62027139342,1.5842719653911,0.53369959404782,2.96847137052375,0.00299284980891316,0.0966554449651274
"GPFGEMDG_02509",5115.88189477068,0.745810682567927,0.254901650338046,2.92587624120458,0.00343487550867579,0.108465735507296
"GPFGEMDG_00174",1460.39916686148,-1.62718646963712,0.56078822110392,-2.90160600455191,0.00371255147550525,0.114685557536803
"ptsI",220.595068071566,-5.74988465642099,1.99811529567233,-2.87765409177064,0.00400644186893137,0.121130933952159
"GPFGEMDG_00095",5661.46396421586,0.734866142175168,0.259936072151163,2.82710335696622,0.00469711646854584,0.139054218787576
"purC",730.770215619817,-7.06556861217262,2.50655314659394,-2.81883853999815,0.00481977555580895,0.139773491118459
"carB",135.226019554342,-5.55388182779152,1.98100190728211,-2.80357217596591,0.00505399188089448,0.143634449255021
"yckB",699.078377737266,-1.37243812319127,0.497252976457968,-2.76004003629585,0.0057794278330569,0.160064664590818
"garK",4644.86254209766,-1.06971592755458,0.388188750510488,-2.75565926665276,0.00585739800050848,0.160064664590818
"GPFGEMDG_01594",2701.23224252455,-0.804364712723776,0.294840083960141,-2.72813893524911,0.00636927753538242,0.170768742976951
"GPFGEMDG_02373",2700.21637614548,1.28120751875138,0.474791300184359,2.69846460593085,0.00696601449826561,0.183309381519175
"cysL",58.9111649759823,8.92720598959502,3.3351096589664,2.67673537078289,0.00743433275383014,0.192076124421684
"norG",2603.45825237794,0.956971569974168,0.367328666982113,2.60521885709717,0.00918155907339828,0.232982061487481
"araN_1",9015.65300223869,0.933442968581377,0.368932295667656,2.53011996928088,0.011402353188264,0.284258664570581
"afr_1",579.722710481854,2.05750019859537,0.818593582537381,2.51345752335093,0.011955417407437,0.286002504859576
"GPFGEMDG_01449",834.115263618492,1.61139886881307,0.641178542866179,2.51318277372451,0.0119647329086819,0.286002504859576
"lacC_1",1129.56982222122,1.88637261501226,0.751569079202609,2.5099124847095,0.0120761085795739,0.286002504859576
"treR",1983.93397107287,-1.08738705824749,0.434881094692839,-2.50042384347731,0.0124044800096562,0.286979937487831
"GPFGEMDG_01360",488.005857172368,1.84685583031304,0.74095544418093,2.49253291114502,0.0126835575460622,0.286979937487831
"radA",1868.91499643301,-1.05152737790198,0.422762172732109,-2.48727877214384,0.0128724486169187,0.286979937487831
"GPFGEMDG_00391",54.0832862194583,9.64215556369631,3.88646462406992,2.48095801618259,0.0131029805177001,0.286979937487831
"mutS2_2",48.0258798178615,8.25486304496308,3.32817021267054,2.48030074109081,0.0131271611095771,0.286979937487831
"gtaB_2",51.235659273404,-9.66145005992457,3.90734588953351,-2.47263752251993,0.0134120100140346,0.288764639847624
"npr_1",4159.29085669861,0.875446750413021,0.357216888190786,2.45074289417541,0.014256174169695,0.302358559628905
"GPFGEMDG_01784",187.673249318077,-2.62521487091938,1.08223563505006,-2.42573316373743,0.0152774984913847,0.312647478493991
"GPFGEMDG_00417",49.7334067722176,-9.4735621089903,3.90742843875687,-2.42450047581787,0.0153294632373337,0.312647478493991
"GPFGEMDG_02525",860.013762440113,1.55841050956455,0.643226744589692,2.42280117030681,0.0154013536203936,0.312647478493991
"GPFGEMDG_00438",37.9125148860628,-6.16933842893761,2.56511951029781,-2.40508810765754,0.0161685670589317,0.323599067475239
"ntcA",1526.65413196214,1.03590016710346,0.436188412690334,2.37489153073601,0.0175541078969613,0.34359663185764
"yteT",39.1135623237843,-9.27198952067205,3.90752980701789,-2.37285189840897,0.0176513399898717,0.34359663185764
"GPFGEMDG_01910",53.1255005624465,7.87670579831721,3.35491699861907,2.34780943956568,0.0188841799150025,0.354102816915003
"GPFGEMDG_01651",36.0611727646297,9.16103701637578,3.90763976323277,2.34439139005918,0.0190581603080794,0.354102816915003
"GPFGEMDG_01077",38.4716563273512,-9.11781499430665,3.90761748116584,-2.33334379279784,0.0196301087301475,0.354102816915003
"metP_2",48.6105643655262,-9.10346300127912,3.90762612939114,-2.32966581239888,0.0198238208040086,0.354102816915003
"glcR_2",3475.62977039785,-0.838873280481858,0.360288517365023,-2.32833754074922,0.0198941873838608,0.354102816915003
"GPFGEMDG_01636",34.6509613345311,-9.09721560568707,3.90762992092675,-2.32806478345563,0.0199086639425733,0.354102816915003
"GPFGEMDG_01045",2765.73998718122,0.842109844916863,0.362056763575178,2.32590557514058,0.0200235885591412,0.354102816915003
"purB",696.854971429087,-1.24044055401351,0.534005501275779,-2.32289845525937,0.0201846081422345,0.354102816915003
"aroB",1911.16072325924,1.02354639088616,0.442212822123425,2.31460134052937,0.0206347594506528,0.356976203214785
"ahpF",1872.80847505913,-1.04619988404383,0.453237298889672,-2.30828285008048,0.0209834096749541,0.356976203214785
"rsmE",1132.15264557709,-1.06251976745144,0.460732402191288,-2.30615377255429,0.0211020415693469,0.356976203214785
"bioY2",1224.74383686858,-1.21320827240063,0.530909348745299,-2.28515145809319,0.0223039483770557,0.372869536985837
"kduI1",2512.86139102926,-0.782910960761401,0.344833478990726,-2.27040298712544,0.023183143416634,0.378427420549094
"celA_3",27.285438917716,8.75879886417732,3.87584941993454,2.25983982224089,0.0238311938873699,0.378427420549094
"sppA",35.0386774594689,8.80554949282087,3.90789062307295,2.25327429606939,0.0242418594010841,0.378427420549094
"GPFGEMDG_00834",1154.03683720964,1.12919773363608,0.501256619105285,2.25273381058116,0.0242759377704219,0.378427420549094
"GPFGEMDG_02359",27.6198003980354,-8.77004081674412,3.90785327598129,-2.24420933883243,0.0248189354523618,0.378427420549094
"GPFGEMDG_01358",2213.66104187779,1.04126150282755,0.464345620015011,2.24242774766324,0.0249337401377664,0.378427420549094
"thiD",27.4800774306771,-8.76271866441365,3.90785887690167,-2.24233242305851,0.024939895738676,0.378427420549094
"GPFGEMDG_02487",56.6990793351557,7.41875015844273,3.31413236204176,2.23851957254725,0.0251871925079372,0.378427420549094
"recQ_2",54.5068516421724,7.48420183443761,3.35378028637308,2.23157189659891,0.0256432707836548,0.378427420549094
"GPFGEMDG_02287",5665.37792443231,-0.744314195945012,0.33375761523277,-2.23010400953971,0.0257405387091151,0.378427420549094
"GPFGEMDG_00419",45.1760827841536,7.69130942995031,3.44894392829425,2.23004768701885,0.0257442772072919,0.378427420549094
"GPFGEMDG_01424",26.3942966528553,8.70979377347142,3.90796950423385,2.22872613617771,0.0258321321557087,0.378427420549094
"xerC_3",1277.38247053676,0.797772929165121,0.360204184592278,2.21477973685435,0.0267751867093336,0.385168080514963
"GPFGEMDG_01365",1942.70532689045,0.80989128954336,0.365817985590153,2.21391872856336,0.0268343701414366,0.385168080514963
"GPFGEMDG_01908",429.311650068057,1.42759645207024,0.648597406139002,2.20105174420678,0.027732360908882,0.394076848515213
